Name: 广东新闻, URL: http://113.110.220.255:8888/rtp/239.77.0.173:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 113 ms
Name: 广东新闻, URL: http://14.154.189.185:4022/rtp/239.77.0.173:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 192 ms
Name: 广东新闻, URL: http://113.110.220.255:8888/rtp/239.77.0.173:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 193 ms
Name: 广东新闻, URL: http://113.119.195.184:9999/rtp/239.77.0.173:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 217 ms
Name: 广东新闻, URL: http://113.119.195.184:9999/rtp/239.77.0.173:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 224 ms
Name: 广东新闻, URL: http://14.154.189.185:4022/rtp/239.77.0.173:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 226 ms
Name: 广东新闻, URL: http://116.28.124.174:8520/rtp/239.77.0.173:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 293 ms
Name: 广东新闻, URL: http://116.28.124.174:8520/rtp/239.77.0.173:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 302 ms
Name: 广东新闻, URL: http://116.28.124.202:8520/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 118 ms
Name: 广东新闻, URL: http://116.28.124.202:8520/rtp/239.77.0.4:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 125 ms
Name: 广东新闻, URL: http://113.67.164.10:8888/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 196 ms
Name: 广东新闻, URL: http://113.119.195.184:9999/rtp/239.77.0.4:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 218 ms
Name: 广东新闻, URL: http://113.119.195.184:9999/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 252 ms
Name: 广东新闻, URL: http://113.119.195.184:9999/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 263 ms
Name: 广东新闻, URL: http://14.154.189.185:4022/rtp/239.77.0.4:5146$720x576, Date: 2024-10-05, Resolution: 720x576, Response Time: 266 ms
Name: 广东新闻, URL: http://14.154.189.185:4022/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 355 ms
Name: 广东新闻, URL: http://116.28.124.174:8520/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 广东新闻, URL: http://116.28.124.174:8520/rtp/239.77.0.4:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 广东新闻, URL: http://113.110.220.255:8888/rtp/239.77.0.4:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东新闻, URL: http://116.28.124.174:8520/rtp/239.77.0.4:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东新闻, URL: http://202.168.187.208:9898/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 451 ms
Name: 广东新闻, URL: http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 466 ms
Name: 广东新闻, URL: http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8, Date: None, Resolution: None, Response Time: 487 ms
Name: 广东新闻, URL: http://183.237.246.14:32/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 833 ms
Name: 广东新闻, URL: http://119.129.172.119:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 1794 ms
Name: 广东新闻, URL: http://183.237.246.14:32/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 1959 ms
Name: 广东新闻, URL: http://119.129.172.164:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2035 ms
Name: 广东新闻, URL: http://219.137.203.224:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2043 ms
Name: 广东新闻, URL: http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2767 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.0.168:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 33 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.0.168:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 48 ms
Name: 广东体育, URL: http://14.154.189.185:4022/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 141 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.0.168:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 141 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 149 ms
Name: 广东体育, URL: http://14.154.189.185:4022/rtp/239.77.0.168:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 154 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.0.168:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 169 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.0.112:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 182 ms
Name: 广东体育, URL: http://14.154.189.185:4022/rtp/239.77.0.112:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 221 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.0.112:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 258 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 281 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.0.112:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 342 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.1.97:5146$720x576, Date: None, Resolution: 720x576, Response Time: 121 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.1.97:5146$720x576, Date: None, Resolution: 720x576, Response Time: 145 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.1.97:5146$720x576, Date: None, Resolution: 720x576, Response Time: 373 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.0.168:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东体育, URL: http://113.110.220.255:8888/rtp/239.77.1.97:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东体育, URL: http://14.154.189.185:4022/rtp/239.77.1.97:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.0.168:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东体育, URL: http://116.28.124.174:8520/rtp/239.77.1.97:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 广东体育, URL: http://113.119.195.184:9999/rtp/239.77.1.97:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 广东体育, URL: http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 455 ms
Name: 广东体育, URL: http://202.168.187.208:9898/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 474 ms
Name: 广东体育, URL: http://119.129.172.164:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2013 ms
Name: 广东体育, URL: http://219.137.203.224:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2044 ms
Name: 广东体育, URL: http://119.129.172.119:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2059 ms
Name: 广东体育, URL: http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 2315 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 57 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 94 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 124 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 149 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 156 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 165 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 170 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 281 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 293 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.1:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 301 ms
Name: 广东珠江, URL: http://113.119.195.184:9999/rtp/239.77.1.94:5146$720x576, Date: None, Resolution: 720x576, Response Time: 224 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.0.114:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东珠江, URL: http://113.110.220.255:8888/rtp/239.77.1.94:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.0.114:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 广东珠江, URL: http://14.154.189.185:4022/rtp/239.77.1.94:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 广东珠江, URL: http://116.28.124.174:8520/rtp/239.77.0.114:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
