广东频道,#genre#
广东珠江,http://116.28.125.24:7777/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://116.28.124.202:8520/rtp/239.77.1.94:5146$720x576
广东珠江,http://116.28.125.24:7777/rtp/239.77.0.114:5146
广东珠江,http://116.28.125.24:7777/rtp/239.77.1.94:5146
广东珠江,http://119.129.173.99:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://202.168.187.208:9898/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://116.28.125.24:7777/rtp/239.77.0.112:5146$1920x1080
广东体育,http://116.28.125.24:7777/rtp/239.77.0.168:5146
广东体育,http://116.28.125.24:7777/rtp/239.77.1.97:5146
广东体育,http://119.129.173.99:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://202.168.187.208:9898/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://116.28.125.24:7777/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://116.28.124.202:8520/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://116.28.124.202:8520/rtp/239.77.0.4:5146$720x576
广东新闻,http://116.28.125.24:7777/rtp/239.77.0.4:5146$720x576
广东新闻,http://116.28.125.24:7777/rtp/239.77.0.4:5146
广东新闻,http://119.129.173.99:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://202.168.187.208:9898/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广东新闻,http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://118.183.212.29:6868/rtp/239.255.30.134:8231$1920x1080
广东卫视,http://115.150.15.242:5566/rtp/239.252.219.213:5140$1920x1080
广东卫视,http://27.10.75.98:8007/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://171.116.151.33:8084/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://125.37.162.223:4022/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://118.113.179.38:4022/rtp/239.93.0.181:5140$1920x1080
广东卫视,http://118.79.7.119:6001/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://118.81.35.18:8002/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://171.116.226.246:8085/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://123.113.237.160:8888/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://27.10.215.110:8005/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://111.225.152.107:8000/rtp/239.254.200.56:8048$1920x1080
广东卫视,http://114.243.106.85:8888/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://60.220.167.218:8085/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://27.11.251.221:8006/rtp/225.0.4.84:7980$1920x1080
大湾区卫视,http://116.28.125.24:7777/rtp/239.77.0.215:5146$1920x1080
大湾区卫视,http://116.28.124.202:8520/rtp/239.77.1.12:5146$720x576
大湾区卫视,http://116.28.125.24:7777/rtp/239.77.0.215:5146
大湾区卫视,http://116.28.125.24:7777/rtp/239.77.1.12:5146
江门综合,http://116.28.125.24:7777/rtp/239.77.0.195:5146
江门综合,http://116.28.125.24:7777/rtp/239.77.0.201:5146
江门侨乡生活,http://116.28.125.24:7777/rtp/239.77.0.202:5146$1920x1080
江门侨乡生活,http://116.28.125.24:7777/rtp/239.77.0.196:5146
江门侨乡生活,http://116.28.125.24:7777/rtp/239.77.0.202:5146
佛山综合,http://116.28.125.24:7777/rtp/239.253.43.52:5146
佛山综合,http://116.28.125.24:7777/rtp/239.253.43.57:5146
