Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8, Date: None, Resolution: None, Response Time: 123 ms
Name: TVBS新闻, URL: http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 安徽体育, URL: http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8, Date: None, Resolution: None, Response Time: 405 ms
Name: 河南卫视, URL: http://123.138.216.44:9902/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 494 ms
Name: CCTV-5+, URL: http://219.135.208.218:8083/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 472 ms
Name: 广东体育, URL: http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 五星体育, URL: http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/wxtyhd8m/8000000/mnf.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 山东卫视, URL: http://61.136.67.238:50085/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 732 ms
Name: 凤凰中文, URL: http://210.210.155.37/uq2663/h/h157/index2.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 山东卫视, URL: http://61.136.67.238:50085/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 721 ms
Name: 深圳卫视, URL: http://61.136.67.238:50085/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 907 ms
Name: 星爷电影, URL: http://hlsa-akm.douyucdn.cn/85894rmovieChow_4000p.m3u8, Date: None, Resolution: None, Response Time: 1133 ms
Name: 翡翠台, URL: https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 斗鱼电视剧-2, URL: http://diyp.112114.xyz/douyu/7489563, Date: None, Resolution: None, Response Time: 1941 ms
Name: 漫威影院, URL: https://www.goodiptv.club/douyu/6140589, Date: None, Resolution: None, Response Time: 2677 ms
Name: 豆瓣高分, URL: https://www.goodiptv.club/douyu/8770422, Date: None, Resolution: None, Response Time: 2697 ms
Name: 好先生, URL: https://www.goodiptv.club/douyu/9650792, Date: None, Resolution: None, Response Time: 2705 ms
Name: 恐怖鬼怪, URL: https://www.goodiptv.club/douyu/1165374, Date: None, Resolution: None, Response Time: 2728 ms
Name: 特辑电影, URL: https://www.goodiptv.club/douyu/3637778, Date: None, Resolution: None, Response Time: 2756 ms
Name: 邵氏影院, URL: https://www.goodiptv.club/douyu/4246519, Date: None, Resolution: None, Response Time: 2858 ms
Name: 华语影视, URL: https://www.goodiptv.club/douyu/3928, Date: None, Resolution: None, Response Time: 2867 ms
Name: 奶虫影院, URL: https://www.goodiptv.club/douyu/263824, Date: None, Resolution: None, Response Time: 2530 ms
Name: 喜剧电影, URL: https://www.goodiptv.club/douyu/323876, Date: None, Resolution: None, Response Time: 2931 ms
Name: 吃米滴虫, URL: https://www.goodiptv.club/douyu/315457, Date: None, Resolution: None, Response Time: 2946 ms
Name: 贝爷4厅, URL: https://www.goodiptv.club/douyu/4332, Date: None, Resolution: None, Response Time: 3010 ms
Name: 下饭神剧, URL: https://www.goodiptv.club/douyu/276200, Date: None, Resolution: None, Response Time: 2364 ms
Name: 刘德华电影, URL: https://www.goodiptv.club/douyu/2516864, Date: None, Resolution: None, Response Time: 3075 ms
Name: 橙记港剧, URL: https://www.goodiptv.club/douyu/4549169, Date: None, Resolution: None, Response Time: 2647 ms
Name: 贝爷2厅, URL: https://www.goodiptv.club/douyu/36337, Date: None, Resolution: None, Response Time: 3252 ms
Name: 可乐影视, URL: https://www.goodiptv.club/douyu/20415, Date: None, Resolution: None, Response Time: 2587 ms
Name: 贝爷1厅, URL: https://www.goodiptv.club/douyu/252802, Date: None, Resolution: None, Response Time: 3286 ms
Name: 斗鱼电视剧-1, URL: http://diyp.112114.xyz/douyu/5261342, Date: None, Resolution: None, Response Time: 3372 ms
Name: 神乐影视, URL: https://www.goodiptv.club/douyu/85894, Date: None, Resolution: None, Response Time: 3377 ms
Name: 1983年, URL: http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 832 ms
Name: 1985年, URL: http://txmov2.a.kwimgs.com/bs3/video-hls/5227271857652377954_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 713 ms
Name: 1984年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5229242184269609742_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 824 ms
Name: 1987年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8, Date: None, Resolution: None, Response Time: 668 ms
Name: 1986年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 715 ms
Name: 刀刀影院, URL: https://www.goodiptv.club/douyu/747764, Date: None, Resolution: None, Response Time: 3519 ms
Name: 恐怖电影, URL: https://www.goodiptv.club/douyu/218859, Date: None, Resolution: None, Response Time: 3634 ms
Name: 1989年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8, Date: None, Resolution: None, Response Time: 707 ms
Name: 1991年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 651 ms
Name: 1988年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8, Date: None, Resolution: None, Response Time: 732 ms
Name: 1992年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 626 ms
Name: 惊悚电影, URL: https://www.goodiptv.club/douyu/96577, Date: None, Resolution: None, Response Time: 3695 ms
Name: 贝贝影视, URL: https://www.goodiptv.club/douyu/431460, Date: None, Resolution: None, Response Time: 3209 ms
Name: 1998年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 667 ms
Name: 1993年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 962 ms
Name: 1997年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 757 ms
Name: 1995年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 792 ms
Name: 1996年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5202783562064785590_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 780 ms
Name: 1994年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 945 ms
Name: 2000年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 544 ms
Name: 2002年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 529 ms
Name: 1999年, URL: https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8, Date: None, Resolution: None, Response Time: 727 ms
